marca,modelo,año,kilometraje,version,transmision,precio (MXN),ubicacion
Mg,Zs,2022,22640,1.5 EXCITE AUTO,Automático,276999,Ciudad de México
Chevrolet,Onix,2023,18436,1.0 PREMIER REDLINE E AUTO,Automático,286999,Ciudad de México
Mg,Zs,2023,16851,1.5 ELEGANCE RED PACK CVT,Automático,340999,Ciudad de México
Nissan,Versa,2022,18093,1.6 ADVANCE,Manual,278999,Ciudad de México
Kia,Rio,2021,20822,1.6 LX AUTO,Automático,256999,Monterrey
Buick,Encore,2018,62218,1.4 AUTO CXL L PREMIUM,Automático,247999,Ciudad de México
Kia,Niro,2020,46364,1.6 EX DCT,Automático,357999,Ciudad de México
Kia,Sorento,2016,66000,3.3 EX PACK AT,Automático,264999,Ciudad de México
Mazda,Mazda 2,2018,64000,1.5 I TOURING TM,Manual,203999,Ciudad de México
Hyundai,ix35,2015,123141,2.0 LIMITED AT,Automático,204999,Querétaro
Volkswagen,Passat,2016,70563,2.5 COMFORTLINE,Automático,232999,Querétaro
Renault,Kwid,2021,33771,1.0 INTENS,Manual,165999,Monterrey
Chirey,Tiggo 8 Pro Max,2023,6000,2.0 LUXURY DCT,Automático,508999,Guadalajara
Chevrolet,Cavalier,2019,55811,1.5 LT B AUTO,Automático,207999,Ciudad de México
Kia,Sorento,2019,37884,2.4 EX AUTO,Automático,341999,Ciudad de México
Toyota,Corolla,2017,55000,1.8 LE CVT,Automático,229999,Ciudad de México
Dodge,Attitude,2020,78668,1.2 SE,Manual,169999,Ciudad de México
Kia,Soul,2020,60873,1.6 LX,Manual,221999,Ciudad de México
Gmc,Terrain,2016,60296,3.6  DENALI D AT,Automático,199999,Ciudad de México
Kia,Rio,2021,43841,1.6 LX AUTO,Automático,239999,Ciudad de México
Jeep,Cherokee,2014,99589,2.4 LIMITED PREMIUM,Automático,237999,Ciudad de México
Hyundai,Tucson,2018,70000,2.0 LIMITED TECH NAVI AUTO,Automático,298999,Ciudad de México
Nissan,Pathfinder,2020,55000,3.5 EXCLUSIVE AUTO 4WD,Automático,425999,Ciudad de México
Bmw,X2,2021,33363,2.0 SDRIVE20I M SPORT DCT,Automático,521999,Ciudad de México
Chevrolet,Sonic,2016,95065,1.6 AT F LTZ,Automático,149999,Ciudad de México
Mazda,CX-3,2018,31379,2.0 I SPORT 2WD AT,Automático,272999,Ciudad de México
Renault,Duster,2019,57439,2.0 INTENS AUTO,Automático,199999,Ciudad de México
